,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.16922907829284667,0.041777306603499015,0.08851208686828613,0.014123491474336386,0.1,0.0,"{'model__C': 0.1, 'model__l1_ratio': 0}",0.9658208631533289,0.9520342347990463,0.958226169330965,0.9618896932391232,0.9649878397204316,0.960591760048579,0.005043429868019358,7,0.9748862451417196,0.9711002822952046,0.9650547054935945,0.9633428529189809,0.9630484915745325,0.9674865154848066,0.004703084202441641
11,0.04407205581665039,0.03929213909135861,0.029493427276611327,0.037863462933962005,0.1,0.25,"{'model__C': 0.1, 'model__l1_ratio': 0.25}",0.9663558158027904,0.9521885953663333,0.9582948490230906,0.9618270791490264,0.9651059006871149,0.9607544480056711,0.005116335755227702,5,0.9747938193193668,0.9710608589276606,0.9650284818215652,0.963319353889729,0.9630329412390985,0.967447091039484,0.004677741714861102
12,0.023692798614501954,0.010618029558072494,0.007907962799072266,0.001196334441757248,0.1,0.5,"{'model__C': 0.1, 'model__l1_ratio': 0.5}",0.9669245042049205,0.9522645882609977,0.9583682652457074,0.961752423887757,0.9651531250737879,0.9608925813346341,0.005217089071082066,3,0.9745520902455209,0.9710011265525937,0.9649837161592122,0.9633015065257399,0.9630059428039583,0.9673688764574051,0.004605637392440778
13,0.023064422607421874,0.00564217185591152,0.010091304779052734,0.003987282664150659,0.1,0.75,"{'model__C': 0.1, 'model__l1_ratio': 0.75}",0.9673462011132798,0.9524450713858253,0.9584156305506217,0.9617837309328054,0.9652617411631366,0.9610504750291338,0.0052707489200013455,2,0.9741018105981609,0.9709222798175057,0.9649319310290938,0.9632878235466816,0.9629718847073327,0.967243145939755,0.004467824282553706
14,0.024489831924438477,0.010639843329371703,0.021087837219238282,0.011333310383753624,0.1,1.0,"{'model__C': 0.1, 'model__l1_ratio': 1}",0.9674666859442398,0.9525091903906986,0.9584345766725874,0.9617668732931641,0.9653184104271446,0.961099147345567,0.005285468457119794,1,0.9739880557398806,0.9708398491399135,0.9649194814070192,0.9632566650237175,0.9629415949435269,0.9671891292508116,0.004431935943494986
15,0.02190990447998047,0.005618095465536899,0.016263437271118165,0.0066207855246141895,1.0,0.0,"{'model__C': 1.0, 'model__l1_ratio': 0}",0.9652955492903443,0.9519273697909245,0.9581953818827709,0.9618391203201988,0.9649831172817643,0.9604481077132005,0.004973462900451021,13,0.9750663570006636,0.9710787786401804,0.9650562948070507,0.9633479096721113,0.9630530708144149,0.967520482186884,0.004754830082339591
16,0.023912906646728516,0.006065036864697739,0.011284303665161134,0.0032913613583557735,1.0,0.25,"{'model__C': 1.0, 'model__l1_ratio': 0.25}",0.9653582014024434,0.9519534923484654,0.9582048549437536,0.9618029968066815,0.9649925621590989,0.9604624215320886,0.004975669994261918,12,0.9750924258223528,0.9710805706114325,0.9650600032051155,0.9633493969524437,0.9630507811944737,0.9675266355571637,0.004763160851865805
17,0.02815718650817871,0.015136164666316933,0.01291794776916504,0.0039041776720084836,1.0,0.5,"{'model__C': 1.0, 'model__l1_ratio': 0.5}",0.965476276536784,0.9519748653500898,0.9581906453522795,0.9617981803382125,0.9650161743524356,0.9604912283859603,0.004997100882004473,11,0.9750876860365911,0.97107818131643,0.965061857404148,0.9633505867767096,0.9630494455828413,0.967525551423344,0.004761149033213935
18,0.02602243423461914,0.007700322687519647,0.008404731750488281,0.0013509648256159698,1.0,0.75,"{'model__C': 1.0, 'model__l1_ratio': 0.75}",0.9655606159184559,0.9519843644619228,0.9582024866785079,0.9617861391670399,0.9650208967911029,0.9605109006034057,0.005009920502182676,10,0.9750639871077827,0.9710943090576978,0.9650631818320281,0.963348355856211,0.9630462973554222,0.9675232262418284,0.004756888907766053
19,0.017881345748901368,0.005007082161789923,0.006360864639282227,0.0005238765660691047,1.0,1.0,"{'model__C': 1.0, 'model__l1_ratio': 1}",0.9656377262102702,0.952012861797422,0.9582119597394908,0.961762056824695,0.9650350641071048,0.9605319337357965,0.005016320738987257,9,0.975090055929472,0.9710949063814487,0.9650600032051155,0.9633480584001444,0.9630457249504368,0.9675277497733233,0.004765736465209013
